fid,RC_ID,RC_Name,Classification,Country,RegionNM,Rank,x_coord,y_coord
6084,RC_EW_795,Harehills Road; Harehills; Leeds (Yorkshire and The Humber; England) - 1,Small Local Centre,England,Yorkshire and The Humber,6,431884.981,435145.409
6087,RC_EW_798,Selby Road; Halton; Leeds (Yorkshire and The Humber; England),Small Local Centre,England,Yorkshire and The Humber,6,434953.69,433436.061
6088,RC_EW_799,Church Street; Atkinson Hill; Leeds (Yorkshire and The Humber; England),Small Local Centre,England,Yorkshire and The Humber,6,431327.587,431774.682
6104,RC_EW_812,Cranmer Bank; Camp Town; Leeds (Yorkshire and The Humber; England),Small Local Centre,England,Yorkshire and The Humber,6,429207.393,439118.879
6107,RC_EW_924,Elizabeth Court; Collingham; Leeds (Yorkshire and The Humber; England),Small Local Centre,England,Yorkshire and The Humber,6,438756.375,445901.002
6121,RC_EW_828,Woodhouse Street; Woodhouse Carr; Leeds (Yorkshire and The Humber; England),Small Local Centre,England,Yorkshire and The Humber,6,429470.11,435414.166
6136,RC_EW_841,Thorpe Park View; Brown Moor; Leeds (Yorkshire and The Humber; England),Small Local Centre,England,Yorkshire and The Humber,6,438051.491,433911.563
6180,RC_EW_917,Town Street; Horsforth; Leeds (Yorkshire and The Humber; England),Small Local Centre,England,Yorkshire and The Humber,6,423664.198,437934.125
6191,RC_EW_782,Windsor Court; Moortown; Leeds (Yorkshire and The Humber; England),Small Local Centre,England,Yorkshire and The Humber,6,431059.987,438762.798
6204,RC_EW_794,Harehills Road; Harehills; Leeds (Yorkshire and The Humber; England),Small Local Centre,England,Yorkshire and The Humber,6,431898.221,434926.858
6206,RC_EW_904,Guiseley Retail Park; Leeds (Yorkshire and The Humber; England),Retail Park,England,Yorkshire and The Humber,7,419085.712,441877.902
6208,RC_EW_906,Harrogate Road; Rawdon; Leeds (Yorkshire and The Humber; England),Small Local Centre,England,Yorkshire and The Humber,6,420842.85,439703.837
6213,RC_EW_801,York Road; The Oval; Leeds (Yorkshire and The Humber; England),Small Local Centre,England,Yorkshire and The Humber,6,435103.365,434772.379
6221,RC_EW_809,Station Road; Troy; Leeds (Yorkshire and The Humber; England),Small Local Centre,England,Yorkshire and The Humber,6,424236,438967.217
6223,RC_EW_810,Butcher Hill; West Park; Leeds (Yorkshire and The Humber; England),Small Local Centre,England,Yorkshire and The Humber,6,426172.534,437491.107
6236,RC_EW_822,Domestic Street; Holbeck; Leeds (Yorkshire and The Humber; England),Small Local Centre,England,Yorkshire and The Humber,6,429069.124,432246.327
6246,RC_EW_830,Brudenell Grove; Hyde Park; Leeds (Yorkshire and The Humber; England),Small Local Centre,England,Yorkshire and The Humber,6,428577.313,435152.836
6248,RC_EW_832,Lincoln Green Road; New Town; Leeds (Yorkshire and The Humber; England),Small Local Centre,England,Yorkshire and The Humber,6,431295.9,434138.809
6252,RC_EW_727,High Street; Boston Spa; Leeds (Yorkshire and The Humber; England),Small Local Centre,England,Yorkshire and The Humber,6,442978.455,445647.82
6262,RC_EW_918,Town Street; Horsforth; Leeds (Yorkshire and The Humber; England) - 1,Small Local Centre,England,Yorkshire and The Humber,6,423888.787,438186.331
6295,RC_EW_800,York Road; Richmond Hill; Leeds (Yorkshire and The Humber; England),Small Local Centre,England,Yorkshire and The Humber,6,432051.566,433575.25
6315,RC_EW_784,Easterly Road; Oakwood; Leeds (Yorkshire and The Humber; England),Small Local Centre,England,Yorkshire and The Humber,6,433256.462,436191.86
6332,RC_EW_909,Town Street; Farsley; Leeds (Yorkshire and The Humber; England),Small Local Centre,England,Yorkshire and The Humber,6,421736.704,435183.773
6372,RC_EW_835,Meanwood Road; Woodhouse Carr; Leeds (Yorkshire and The Humber; England),Small Local Centre,England,Yorkshire and The Humber,6,430267.727,435086.443
6387,RC_EW_788,Queen Victoria Street; Chapel Allerton; Leeds (Yorkshire and The Humber; England),Small Local Centre,England,Yorkshire and The Humber,6,430506.54,437326.657
6400,RC_EW_787,Harrogate Road; Chapel Allerton; Leeds (Yorkshire and The Humber; England),Small Local Centre,England,Yorkshire and The Humber,6,430501.054,437064.825
