OBJECTID,LSOA11CD,LSOA11NM,X_COORD,Y_COORD,STUD_TOT,STUD_EconActive_InEmployment,STUD_EconActive_Unemployed,STUD_EconInactive
7891,E01011612,Leeds 079E,422435.769,433437.097,25,14,3,8
7892,E01011692,Leeds 109D,428112.518,436828.185,183,56,12,115
7893,E01011613,Leeds 076E,420936.751,433441.052,61,25,9,27
7894,E01011691,Leeds 031D,428803.114,436892.941,151,48,21,82
7895,E01011610,Leeds 068C,422773.869,433778.755,71,25,6,40
7896,E01011690,Leeds 109C,427542.594,437063.722,207,88,17,102
7897,E01011611,Leeds 068D,423548.444,433783.208,62,12,8,42
7898,E01011699,Leeds 001B,439879.688,449549.345,55,29,3,23
7899,E01011618,Leeds 070C,432445.567,433532.498,87,21,11,55
7900,E01011698,Leeds 001A,440128.454,449281.99,63,21,9,33
8040,E01011356,Leeds 042A,430843.994,436317.071,125,37,12,76
8041,E01011357,Leeds 038C,430548.212,435857.954,143,37,26,80
8042,E01011354,Leeds 038A,429392.993,436889.563,110,27,13,70
8043,E01011355,Leeds 038B,429759.332,436670.66,88,17,10,61
8044,E01011352,Leeds 034C,430535.372,436798.842,72,25,4,43
8045,E01011353,Leeds 034D,431270.033,436693.16,81,25,5,51
8046,E01011350,Leeds 034A,430162.675,437071.256,85,20,5,60
8047,E01011351,Leeds 034B,430763.677,437301.668,66,29,3,34
8048,E01011358,Leeds 042B,430391.776,436302.813,88,25,8,55
8049,E01011359,Leeds 042C,431651.054,436077.528,160,51,19,90
8101,E01011287,Leeds 067B,424414.423,434177.246,58,23,5,30
8103,E01011286,Leeds 059D,425215.205,434519.913,61,25,9,27
8106,E01011284,Leeds 071A,427285.654,433873.292,87,33,5,49
8108,E01011283,Leeds 059C,425739.591,434470.998,72,19,9,44
8110,E01011282,Leeds 059B,424956.455,434822.318,60,17,11,32
8112,E01011281,Leeds 059A,425771.915,435024.675,88,23,12,53
8116,E01011566,Leeds 015D,432544.429,440116.761,66,25,4,37
8117,E01011567,Leeds 012E,429195.046,439916.717,82,25,9,48
8118,E01011564,Leeds 012D,429197.106,440497.713,78,21,14,43
8119,E01011565,Leeds 015C,430595.354,439996.758,65,16,9,40
8121,E01011562,Leeds 012B,431610.754,440364.689,108,28,1,79
